TOPIC,SUB TOPIC,TRANSCRIPT,LINKS,RELEVANCE,TIMESTAMP
,,"char and single quotes suggest that we are dealing with a character. As a result, d is a character variable storing the value A.",http://stackoverflow.com/questions/19795505/char-data-type-in-c,R,
,,Identifiers are user defined names. An identifier consists of letters and digits. Both uppercase and lowercase letters are permitted. First character must be an alphabet or underscore.,http://stackoverflow.com/questions/19971886/can-an-underscore-be-used-anywhere-in-an-identifier-in-c,R,
,,Identifiers are user defined names. An identifier consists of letters and digits. Both uppercase and lowercase letters are permitted. First character must be an alphabet or underscore.,http://stackoverflow.com/questions/5845558/identifier-and-variables-in-c,R,
,,It denotes that we can print only two values after the decimal point. Suppose here I want an output with three decimal places. Let us replace % point 2f with % point 3f.,http://stackoverflow.com/questions/22877309/how-does-f-work-in-c,R,
,,"""Assignment of read only variable 'b' "". Come back to our program. This is because 'b' is a constant. Constants are fixed values. They do not change during the execution of program",http://stackoverflow.com/questions/20598420/c-error-assignment-of-read-only-variable,R,
,Functions,ret-type defines the type of data that the function returns,http://stackoverflow.com/questions/39034450/return-type-in-c,R,
,,User-defined that is our add function and Pre-defined that is printf and main function,http://stackoverflow.com/questions/3549879/is-main-a-pre-defined-function-in-c,R,
,,Then we pass the parameters as 5 and 4,http://stackoverflow.com/questions/1788923/parameter-vs-argument,R,
,,"So, there is a mismatch in return type and return value",http://stackoverflow.com/questions/38085872/using-a-return-value-of-one-function-in-another-c,R,
,,too few arguments to function. You can see here we have two parameters. And here we are passing only one parameter,http://stackoverflow.com/questions/29813663/error-too-few-arguments-to-function,R,
,,too few arguments to function. You can see here we have two parameters. And here we are passing only one parameter,http://stackoverflow.com/questions/27339250/c-programming-error-too-few-arguments-to-function-whatevers-inside,R,
,,too few arguments to function. You can see here we have two parameters. And here we are passing only one parameter,http://stackoverflow.com/questions/156767/whats-the-difference-between-an-argument-and-a-parameter,SR,
,Scope of variables,Let us start with the introduction to the scope of variables. It is the region of code within which the variable can be accessed.,http://stackoverflow.com/questions/8454208/scope-rules-in-c,R,
,,Depending on it's type and place of declaration it is divided into two categories: Global Variable & Local Variable.,http://stackoverflow.com/questions/28574670/difference-between-function-and-block-scope-in-c,R,
,,"A global variable is available to all functions in your program. These are declared outside any functions, above main() function.These have a global scope.",http://stackoverflow.com/questions/18783482/what-is-global-variable-in-c,R,
,,A local variable is available only to the function inside which it is declared. These variables are declared inside a block. These have local scope,http://stackoverflow.com/questions/14533134/where-is-local-variable-allocated-heap-or-stack,R,
,,too few arguments to function. You can see here we have two parameters. And here we are passing only one parameter,http://stackoverflow.com/questions/22527846/scope-and-lifetime-of-local-variables-in-c,,
,If and else if statement,"If both the above conditions are false then we print 'Sum is less than 10'. This is our else statement.
",http://stackoverflow.com/questions/1439907/what-are-the-differences-between-if-else-and-else-if,R,
,,We see an error:  'else' without a previous 'if' Come back to our program. It is a syntax error. if statement will never terminate with a semicolon. And the else if statement will never work without an if,http://stackoverflow.com/questions/28325228/else-without-a-previous-if,R,
,,Type cin and two closing angle brackets >>. As we use cin >> function to read a line in C++.,http://stackoverflow.com/questions/34384380/what-exactly-are-cout-cin,R,
,Nested if and switch statement,"We will see the comparison between switch and nested-if statements.
 Switch statement is evaluated according to the result of the expression.
 Netsed-if statement is run only if the result of the expression is true.
 In switch, we treat various values of the variable as cases.
 In nested-if we have to write the conditional statement for each value of the variable.
 Switch statement can only check the integer values.
 Nested if can check for both, integer and fractional values.",http://stackoverflow.com/questions/427760/when-to-use-if-else-if-else-over-switch-statments-and-vice-versa,R,
,,"We will see the comparison between switch and nested-if statements.
 Switch statement is evaluated according to the result of the expression.
 Netsed-if statement is run only if the result of the expression is true.
 In switch, we treat various values of the variable as cases.
 In nested-if we have to write the conditional statement for each value of the variable.
 Switch statement can only check the integer values.
 Nested if can check for both, integer and fractional values.",http://stackoverflow.com/questions/449273/why-the-switch-statement-and-not-if-else,R,
,,"We will see the comparison between switch and nested-if statements.
 Switch statement is evaluated according to the result of the expression.
 Netsed-if statement is run only if the result of the expression is true.
 In switch, we treat various values of the variable as cases.
 In nested-if we have to write the conditional statement for each value of the variable.
 Switch statement can only check the integer values.
 Nested if can check for both, integer and fractional values.",http://stackoverflow.com/questions/2158759/case-vs-if-else-if-which-is-more-efficient,R,
,,"We will see the comparison between switch and nested-if statements.
 Switch statement is evaluated according to the result of the expression.
 Netsed-if statement is run only if the result of the expression is true.
 In switch, we treat various values of the variable as cases.
 In nested-if we have to write the conditional statement for each value of the variable.
 Switch statement can only check the integer values.
 Nested if can check for both, integer and fractional values.",http://stackoverflow.com/questions/767821/is-else-if-faster-than-switch-case,R,
,,Switch statement can only check the integer values.,http://stackoverflow.com/questions/5179822/about-switch-case-in-c,R,
,,"The conditional execution can also be done in another way.
 By using switch statement.
 Let’s see how it is done.
 We will see the same program using switch.",http://stackoverflow.com/questions/12654315/c-program-switch-statement,SR,
,,"By using switch statement.
 Let’s see how it is done.
 We will see the same program using switch.
 I have already opened the program.
 Let's switch back to our text editor.
 I have explained this in the previous program.
 So I will move on to the switch statements.
 Here, we divide the inputs i.e y by 10 and the result is stored in the variable x.
 That means the quotient will be stored in x.
 With the help of the quotient we can identify the range of the number.
 Here, we tell the switch command that the variable to be checked is x.
 This is case 0 . If case 0 is satisfied
 then we print you have entered the number in the range of 0-9.
 We add break to come out of the loop if the case is satisfied.
 We need to break the loop each time.",http://stackoverflow.com/questions/15784609/switch-case-in-c,R,
,,"We add break to come out of the loop if the case is satisfied.
 We need to break the loop each time.
 It is because only one condition can be true at a time.",http://stackoverflow.com/questions/27029350/how-does-switch-statement-work-in-c,R,
,,In nested-if we have to write the conditional statement for each value of the variable.,http://stackoverflow.com/questions/29022954/c-using-casecondition-instead-of-case-value,R,
,,"We add break to come out of the loop if the case is satisfied.
 We need to break the loop each time.
 It is because only one condition can be true at a time.
 This is “case 1”. “case 1” means “if the value of x is 1”.
 We print you have entered a number in the range of 10-19.
 This is “case 2” .
 Here we print you have entered a number in the range of 20-29.
 And this is case 3. Here we check whether the number is in the range of 30-39.
 This is the default case. Default case specifies what needs to be done if none of the above cases are satisfied.",http://stackoverflow.com/questions/5776253/c-tricky-switch-case-working,R,
,,"By using switch statement.
 Let’s see how it is done.
 We will see the same program using switch.
 I have already opened the program.
 Let's switch back to our text editor.
 I have explained this in the previous program.
 So I will move on to the switch statements.
 Here, we divide the inputs i.e y by 10 and the result is stored in the variable x.
 That means the quotient will be stored in x.
 With the help of the quotient we can identify the range of the number.
 Here, we tell the switch command that the variable to be checked is x.
 This is case 0 . If case 0 is satisfied
 then we print you have entered the number in the range of 0-9.
 We add break to come out of the loop if the case is satisfied.
 We need to break the loop each time.",http://stackoverflow.com/questions/9408984/how-does-switch-statement-work,R,
,,"By using switch statement.
 Let’s see how it is done.
 We will see the same program using switch.
 I have already opened the program.
 Let's switch back to our text editor.
 I have explained this in the previous program.
 So I will move on to the switch statements.
 Here, we divide the inputs i.e y by 10 and the result is stored in the variable x.
 That means the quotient will be stored in x.
 With the help of the quotient we can identify the range of the number.
 Here, we tell the switch command that the variable to be checked is x.
 This is case 0 . If case 0 is satisfied
 then we print you have entered the number in the range of 0-9.
 We add break to come out of the loop if the case is satisfied.
 We need to break the loop each time.",http://stackoverflow.com/questions/17814926/java-switch-statement,SR,
,,"By using switch statement.
 Let’s see how it is done.
 We will see the same program using switch.
 I have already opened the program.
 Let's switch back to our text editor.
 I have explained this in the previous program.
 So I will move on to the switch statements.
 Here, we divide the inputs i.e y by 10 and the result is stored in the variable x.
 That means the quotient will be stored in x.
 With the help of the quotient we can identify the range of the number.
 Here, we tell the switch command that the variable to be checked is x.
 This is case 0 . If case 0 is satisfied
 then we print you have entered the number in the range of 0-9.
 We add break to come out of the loop if the case is satisfied.
 We need to break the loop each time.",http://stackoverflow.com/questions/29634287/syntax-for-switch-case-in-java,SR,
,Increment and decrement operators,"++' eg. a++ which is postfix increment operator.
++a which is prefix increment operator. ",http://stackoverflow.com/questions/3939350/c-increment-operator,R,"00:12,00:18"
,,"The ++ operator increases the existing value of the operand by one.
a++ and ++a are equivalent to a = a + 1. ",http://stackoverflow.com/questions/2371118/how-do-the-post-increment-i-and-pre-increment-i-operators-work-in-java,SR,"00:48,00:54"
,,"Let's see how the postfix increment operator works.
The output of this printf statement is 1.
The value won't change.
This is because the postfix operation occurs after the operand is evaluated.
If an operation is performed on a++, it is performed on the current value of a.
After that the value of a is incremented.
Now if we see the value of a here, it has been incremented by 1.
We again initialize 'a' to 1 so as to reflect on the changes.
We now come to the prefix increment operators.
This printf statement prints 2 on the screen.
This is because a prefix operation occurs before the operand is evaluated. 
",http://stackoverflow.com/questions/3891230/increment-and-decrement-operators,R,"01:47,01:51,01:55,01:57,02:04,02:10,02:17,02:27,02:35,02:38,02:42"
,,"Let's see how the postfix increment operator works.
The output of this printf statement is 1.
The value won't change.
This is because the postfix operation occurs after the operand is evaluated.
If an operation is performed on a++, it is performed on the current value of a.
After that the value of a is incremented.
Now if we see the value of a here, it has been incremented by 1.
We again initialize 'a' to 1 so as to reflect on the changes.
We now come to the prefix increment operators.
This printf statement prints 2 on the screen.
This is because a prefix operation occurs before the operand is evaluated. 
",http://stackoverflow.com/questions/16869020/pre-increment-vs-post-increment-in-array,R,"01:47,01:51,01:55,01:57,02:04,02:10,02:17,02:27,02:35,02:38,02:42"
,,"The ++ operator increases the existing value of the operand by one.
a++ and ++a are equivalent to a = a + 1.
The -- operator decreases the existing value of the operand by one.
a-- and --a are equivalent to a = a - 1. ",http://stackoverflow.com/questions/12551576/pre-increment-and-post-increment,R,"00:48,00:54,01:00,01:06"
,,"The ++ operator increases the existing value of the operand by one.
a++ and ++a are equivalent to a = a + 1.",http://stackoverflow.com/questions/12319358/c-increment-operator-overloading,SR,"00:48,00:54"
,,"Let's see how the postfix increment operator works.
The output of this printf statement is 1.
The value won't change.
This is because the postfix operation occurs after the operand is evaluated.
If an operation is performed on a++, it is performed on the current value of a.
After that the value of a is incremented.
Now if we see the value of a here, it has been incremented by 1.
We again initialize 'a' to 1 so as to reflect on the changes.
We now come to the prefix increment operators.
This printf statement prints 2 on the screen.
This is because a prefix operation occurs before the operand is evaluated. 
",http://stackoverflow.com/questions/21905747/increment-and-decrement-operators-in-java,SR,"01:47,01:51,01:55,01:57,02:04,02:10,02:17,02:27,02:35,02:38,02:42"
,,"Let's see how the postfix increment operator works.
The output of this printf statement is 1.
The value won't change.
This is because the postfix operation occurs after the operand is evaluated.
If an operation is performed on a++, it is performed on the current value of a.
After that the value of a is incremented.
Now if we see the value of a here, it has been incremented by 1.
We again initialize 'a' to 1 so as to reflect on the changes.
We now come to the prefix increment operators.
This printf statement prints 2 on the screen.
This is because a prefix operation occurs before the operand is evaluated. 
",http://stackoverflow.com/questions/31421958/increment-decrement-operators-in-c,R,"01:47,01:51,01:55,01:57,02:04,02:10,02:17,02:27,02:35,02:38,02:42"
,,"We now come to the prefix increment operators.This printf statement prints 2 on the screen.
This is because a prefix operation occurs before the operand is evaluated.We now have the prefix decrement operator.
Output of this printf statement would be 0.
As it is a prefix operation.
The prefix operation occurs before the operand is evaluated. ",http://stackoverflow.com/questions/1485841/behaviour-of-increment-and-decrement-operators-in-python,SR,"02:35,02:38,02:42,04:54,04:58,05:00,05:05"
,,"The ++ operator increases the existing value of the operand by one.
a++ and ++a are equivalent to a = a + 1.
The -- operator decreases the existing value of the operand by one.
a-- and --a are equivalent to a = a - 1. ",http://stackoverflow.com/questions/32578869/confusion-using-increment-and-decrement-operators-in-java,SR,"00:48,00:54,01:00,01:06"
,,"a's value will be decremented after a-- is evaluated as it is a postfix expression.
The next statement prints a's value as o.
a's value has now being decremented by 1.
We now have the prefix decrement operator.
Output of this printf statement would be 0.
As it is a prefix operation.
The prefix operation occurs before the operand is evaluated. ",http://stackoverflow.com/questions/17949189/how-does-the-decrement-operator-work-in-a-while-statement,R,"04:40,04:47,04:51,04:54,04:58,05:00,05:05"
,,"Typecasting is used to make a variable of one type, act like another type.
Typecasting is done by enclosing the data type, you want, within parentheses.
This cast is put in front of the variable you want to cast. ",http://stackoverflow.com/questions/7558837/what-exactly-is-a-type-cast-in-c-c,R,"07:22,07:27,07:33"
,,"The fractional part has been truncated as both the operands a and b are integers.
To perform real division, one of the operands will have to be typecast to float.
Here we are typecasting a to float. c now holds the value of real division. ",http://stackoverflow.com/questions/4302190/typecasting-in-c,R,"08:25,08:31,08:35"
,,"Typecasting is used to make a variable of one type, act like another type.
Typecasting is done by enclosing the data type, you want, within parentheses.
This cast is put in front of the variable you want to cast. ",http://stackoverflow.com/questions/4302190/typecasting-in-c,R,"07:22,07:27,07:33"
,,"Typecasting is used to make a variable of one type, act like another type.
Typecasting is done by enclosing the data type, you want, within parentheses.
This cast is put in front of the variable you want to cast. ",http://stackoverflow.com/questions/25079788/typecasting-int-to-char-in-printf-in-c,SR,"07:22,07:27,07:33"
,,"Typecasting is used to make a variable of one type, act like another type. Typecasting is done by enclosing the data type, you want, within parentheses. This cast is put in front of the variable you want to cast.",http://stackoverflow.com/questions/14373924/typecasting-of-pointers-in-c,SR,"07:22,07:27,07:33"
,,"We now have the concept of typecasting.
It is implemented the same way in both C and C++. ",http://stackoverflow.com/questions/3278441/c-type-casting,SR,"07:15,07:17"
,,"The fractional part has been truncated as both the operands a and b are integers.
To perform real division, one of the operands will have to be typecast to float.
Here we are typecasting a to float. c now holds the value of real division. ",http://stackoverflow.com/questions/35190918/typecasting-in-c-and-use-of-parentheses,R,"08:25,08:31,08:35"
,,"We now have the concept of typecasting.
It is implemented the same way in both C and C++. Typecasting is done by enclosing the data type, you want, within parentheses. ",http://stackoverflow.com/questions/28235805/type-casting-in-c,R,"07:15,07:17,07:27"
,,"Typecasting is used to make a variable of one type, act like another type.
Typecasting is done by enclosing the data type, you want, within parentheses. ",http://stackoverflow.com/questions/605845/do-i-cast-the-result-of-malloc,SR,"07:22,07:27"
,Arithmetic operators,"Here is the C program for arithmetic operators.
In the first two statements, the variables are declared and defined.",http://stackoverflow.com/questions/24882427/arithmetic-operation-in-c,SR,"00:49,00:56"
,Relational operators,"We now have the equal to operator.
It is denoted by double equal signs (==).This operator returns true when both operands are equal to one another. ",http://stackoverflow.com/questions/18097922/return-value-of-operator-in-c,R,"04:43,04:47,04:59"
,,"Now we have the greater than (>) operator.
This operator compares the two operands on either side of the operator.
It returns True if a is greater than b.
This printf statement is executed if the above condition is true.
If the above condition is false then it is skipped.
The control then jumps to the next statement.
We now have the less than (<) operator.
This too compares the operands.
It returns true when a is less than b. 
",http://stackoverflow.com/questions/5112886/question-regarding-relational-operator-in-c,R,"01:32,01:35,01:38,01:43,01:47,01:50,01:53,01:56,01:57"
,,"We now have the equal to operator.
It is denoted by double equal signs (==).This operator returns true when both operands are equal to one another. ",http://stackoverflow.com/questions/29495631/evaluating-relational-operator-in-c,R,"04:43,04:47,04:59"
,,We now have the equal to operator. It is denoted by double equal signs (==).This operator returns true when both operands are equal to one another.,http://stackoverflow.com/questions/20078170/double-structural-equality-operators-ifa-b-c,SR,"04:43,04:47,04:59"
,,We now have the equal to operator. It is denoted by double equal signs (==).This operator returns true when both operands are equal to one another.,http://stackoverflow.com/questions/3933614/c-string-using-equality-operator-for-comparing-two-strings-for-equality,SR,"04:43,04:47,04:59"
,,Next comes the greater than or equal to (>=) operator. ,http://stackoverflow.com/questions/13188186/operator-in-c-not-greater-and-equal-to,R,3:49
,Logical operators,"In C and C++, true is any value other than 0.
 Non zero means true
 and zero means false.
 Expressions using logical operators return 1 for true and 0 for false.",http://stackoverflow.com/questions/12332316/logical-operators-in-c,R,"00:43,00:48,00:50,00:53"
,,"Here, all of the conditions have to be true for logical AND to return a true value.
 The expression is not evaluated further on encountering a false condition.
 So, the expression (a>c) is evaluated only if (a>b) is true.
 If a is less than b, then the expression won't be evaluated further.
 This statement is evaluated if the previous condition is true.
 Next (b>c) is evaluated.
 If the condition is true, then b is greatest is displayed on the screen.
 Otherwise c is greatest is displayed on the screen.
 We now come to the logical OR operator.
 Here, any one of the conditions has to be true for logical OR to return a true value.
 The expression is not evaluated further on encountering a true condition.
 So, if a == zero, then the remaining two expressions won't be evaluated.
 This printf statement is executed if either of a, b or c is 0.",http://stackoverflow.com/questions/6476361/or-and-and-operation-in-c,R,"01:38,01:43,01:49,01:56,02:02,02:07,02:10,02:16,02:21,02:24,02:30,02:35,02:43"
,,"To compare simultaneously, we use the logical AND operator.
 Here, all of the conditions have to be true for logical AND to return a true value.
 The expression is not evaluated further on encountering a false condition.",http://stackoverflow.com/questions/26281447/logical-in-c,R,"01:33,01:38,01:43"
,,"Here, all of the conditions have to be true for logical AND to return a true value.
 The expression is not evaluated further on encountering a false condition.
 So, the expression (a>c) is evaluated only if (a>b) is true.
 If a is less than b, then the expression won't be evaluated further.
 This statement is evaluated if the previous condition is true.
 Next (b>c) is evaluated.
 If the condition is true, then b is greatest is displayed on the screen.
 Otherwise c is greatest is displayed on the screen.
 We now come to the logical OR operator.
 Here, any one of the conditions has to be true for logical OR to return a true value.
 The expression is not evaluated further on encountering a true condition.
 So, if a == zero, then the remaining two expressions won't be evaluated.
 This printf statement is executed if either of a, b or c is 0.",http://stackoverflow.com/questions/7521607/precedence-of-logical-operators-in-c,R,"01:38,01:43,01:49,01:56,02:02,02:07,02:10,02:16,02:21,02:24,02:30,02:35,02:43"
,,"We now come to the logical OR operator.
 Here, any one of the conditions has to be true for logical OR to return a true value.
 The expression is not evaluated further on encountering a true condition.
 So, if a == zero, then the remaining two expressions won't be evaluated.",http://stackoverflow.com/questions/11600132/logical-and-and-or-in-c,R,"02:21,02:04,02:30,02:35"
,,"In C and C++, true is any value other than 0.
 Non zero means true
 and zero means false.",http://stackoverflow.com/questions/35382271/multiple-logical-operators-in-one-line-of-code,R,"00:43,00:48,00:50"
,,"We now come to the logical OR operator.
 Here, any one of the conditions has to be true for logical OR to return a true value.
 The expression is not evaluated further on encountering a true condition.",http://stackoverflow.com/questions/1596668/logical-xor-operator-in-c,SR,"02:21,02:24,02:30"
,,"In C and C++, true is any value other than 0.
 Non zero means true
 and zero means false.
 Expressions using logical operators return 1 for true and 0 for false.
 Now I'll explain the logical operators with the help of an example.
 Here is the program for logical operators in C.",http://stackoverflow.com/questions/32300522/whats-the-point-of-logical-operators-vs-bitwise-operators,SR,"00:43,00:48,00:50,00:53,00:58,01:03"
,,"Here, all of the conditions have to be true for logical AND to return a true value.
 The expression is not evaluated further on encountering a false condition.
 So, the expression (a>c) is evaluated only if (a>b) is true.
 If a is less than b, then the expression won't be evaluated further.
 This statement is evaluated if the previous condition is true.
 Next (b>c) is evaluated.
 If the condition is true, then b is greatest is displayed on the screen.
 Otherwise c is greatest is displayed on the screen.
 We now come to the logical OR operator.
 Here, any one of the conditions has to be true for logical OR to return a true value.
 The expression is not evaluated further on encountering a true condition.
 So, if a == zero, then the remaining two expressions won't be evaluated.
 This printf statement is executed if either of a, b or c is 0.",http://stackoverflow.com/questions/3154132/what-is-the-difference-between-logical-and-conditional-and-or-in-c,SR,"01:38,01:43,01:49,01:56,02:02,02:07,02:10,02:16,02:21,02:24,02:30,02:35,02:43"
,Loops,"A while loop tests the condition in the beginning.
 The structure is:
 while ( condition )
 within the bracket statement block.",http://stackoverflow.com/questions/27894961/while-loop-in-c,SR,00:56-01:03
,,"Now move on to do….while loop .
  A do..while loop is executed at least once before the condition could be validated.
 The structure is:
 do (within the brackets) statement block,
 after the bracket the while ( condition ).
 You can see that the condition is checked at the end.",http://stackoverflow.com/questions/26762394/do-while-loop-in-c,SR,1:07-1:23
,,"Depending on the purpose they are divided into three types:
 while loop
 do…..while loop and
 for loop
 Let us start with the while loop first.
 A while loop tests the condition in the beginning.
 The structure is:
 while ( condition )
 within the bracket statement block.
 Now move on to do….while loop .
  A do..while loop is executed at least once before the condition could be validated.
 The structure is:
 do (within the brackets) statement block,
 after the bracket the while ( condition ).",http://stackoverflow.com/questions/2950931/for-vs-while-in-c-programming,R,00:44-1:20
,,"The syntax of the for loop is
 for (variable initialization; variable condition; and variable increment or decrement)",http://stackoverflow.com/questions/2950931/for-vs-while-in-c-programming,R,10:10-10:12
,,"A do..while loop is executed at least once before the condition could be validated.
 The structure is:
 do (within the brackets) statement block,
 after the bracket the while ( condition ).
 You can see that the condition is checked at the end.",http://stackoverflow.com/questions/31255085/how-to-know-the-do-while-loop-in-c-programming,R,1:09-01:23
,,"A while loop tests the condition in the beginning.
 The structure is:
 while ( condition )
 within the bracket statement block.
 Now move on to do….while loop .
 A do..while loop is executed at least once before the condition could be validated.
 The structure is:
 do (within the brackets) statement block,
 after the bracket the while ( condition ).You can see that the condition is checked at the end.",http://stackoverflow.com/questions/12868604/do-while-or-while,R,00:56-01:23
,,"Suppose, here I will not increment the value of x.
 Click on Save.
 Let us see what happens.
 Come back to the terminal.
 Let me clear the prompt.
 Lets us execute the program.
 Press the up-arrow key twice.
 Again press the up-arrow key.
 The output is displayed.
 We can see number of zeros, this is because the loop does not have the terminating condition .
 It is known as infinite loop.
 Infinite loop can cause the system to become unresponsive.
 It causes the program to consume all the processors time but it can be terminated.",http://stackoverflow.com/questions/25538672/post-increment-in-while-loop-in-c,SR,08:35-09:14
,,"A while loop tests the condition in the beginning.
 The structure is:
 while ( condition )
 within the bracket statement block.
 Now move on to do….while loop .",http://stackoverflow.com/questions/22033275/using-constant-in-a-while-loop-c,R,00:56-01:07
,,"A do..while loop is executed at least once before the condition could be validated.
 The structure is:
 do (within the brackets) statement block,
 after the bracket the while ( condition ).
 You can see that the condition is checked at the end.",http://stackoverflow.com/questions/14934507/simple-do-while-loop-using-whiletrue,R,01:09-01:23
,,"A while loop tests the condition in the beginning.
 The structure is:
 while ( condition )
 within the bracket statement block.
 Now move on to do….while loop .",http://stackoverflow.com/questions/16594148/while-loop-nested-in-a-while-loop,R,00:56-01:07
,,"It is known as infinite loop.
 Infinite loop can cause the system to become unresponsive.
 It causes the program to consume all the processors time but it can be terminated.",http://stackoverflow.com/questions/20186809/endless-loop-in-c-c,R,09:07-09:14
,,"It is known as infinite loop.
 Infinite loop can cause the system to become unresponsive.
 It causes the program to consume all the processors time but it can be terminated",http://stackoverflow.com/questions/1401159/for-or-while-true-which-is-the-correct-c-sharp-infinite-loop,R,09:07-09:14
,,"The syntax of the for loop is
 for (variable initialization; variable condition; and variable increment or decrement)",http://stackoverflow.com/questions/1287863/c-for-loop-int-initial-declaration,R,10:10-10:12
,,"The syntax of the for loop is
 for (variable initialization; variable condition; and variable increment or decrement)",http://stackoverflow.com/questions/42508869/explain-output-in-for-loop-c-program,R,10:10-10:12
,,"The syntax of the for loop is
 for (variable initialization; variable condition; and variable increment or decrement)",http://stackoverflow.com/questions/5140391/for-loop-in-objective-c,SR,10:10-10:12
,,"The syntax of the for loop is
 for (variable initialization; variable condition; and variable increment or decrement)",http://stackoverflow.com/questions/2330891/java-enhanced-for-loop,SR,10:10-10:12
,,"Now move on to do….while loop .
 A do..while loop is executed at least once before the condition could be validated.
 The structure is:
 do (within the brackets) statement block,
 after the bracket the while ( condition ).
 You can see that the condition is checked at the end.",http://stackoverflow.com/questions/33651357/a-very-simple-java-do-while-loop,SR,01:07-01:23
,Arrays,"Let us see how to declare single dimensional array.
The Syntax for this is:
data-type name of the array and size",http://stackoverflow.com/questions/3137671/declaring-and-initializing-arrays-in-c,R,
,,"Let us see how to declare single dimensional array.
The Syntax for this is:
data-type name of the array and size",http://stackoverflow.com/questions/42614538,IR,
